0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,Winner Group C,,,,,,,,,,,,,,,,Winner Match 102,
,Winner Group C,,,,July 5 – East Rutherford,July 5 – East Rutherford,,,,,,,,,,,,
,Runner-up Group F,,,,July 5 – East Rutherford,July 5 – East Rutherford,,,,,,,,,,,,
,Runner-up Group F,,,,Winner Match 76,,,,,,,,,,,,,
,June 30 – Arlington,June 30 – Arlington,,,Winner Match 76,,,,,,,,,,,,,
,June 30 – Arlington,June 30 – Arlington,,,Winner Match 78,,,,,,,,,,,,,
,Runner-up Group E,,,,Winner Match 78,,,,,,,,,,,,,
,Runner-up Group E,,,,,,,,July 11 – Miami Gardens,July 11 – Miami Gardens,,,,,,,,
,Runner-up Group I,,,,,,,,July 11 – Miami Gardens,July 11 – Miami Gardens,,,,,,,,
,Runner-up Group I,,,,,,,,Winner Match 91,,,,,,,,,
,June 30 – Mexico City,June 30 – Mexico City,,,,,,,Winner Match 91,,,,,,,,,
,June 30 – Mexico City,June 30 – Mexico City,,,,,,,Winner Match 92,,,,,,,,,
,Winner Group A,,,,,,,,Winner Match 92,,,,,,,,,
,Winner Group A,,,,July 5 – Mexico City,July 5 – Mexico City,,,,,,,,,,,,
,3rd Group C/E/F/H/I,,,,July 5 – Mexico City,July 5 – Mexico City,,,,,,,,,,,,
,3rd Group C/E/F/H/I,,,,Winner Match 79,,,,,,,,,,,,,
,July 1 – Atlanta,July 1 – Atlanta,,,Winner Match 79,,,,,,,,,,,,,
,July 1 – Atlanta,July 1 – Atlanta,,,Winner Match 80,,,,,,,,,,,,,
,Winner Group L,,,,Winner Match 80,,,,,,,,,,,,,
,Winner Group L,,,,,,,,,,,,July 15 – Atlanta,July 15 – Atlanta,,,,
,3rd Group E/H/I/J/K,,,,,,,,,,,,July 15 – Atlanta,July 15 – Atlanta,,,,
,3rd Group E/H/I/J/K,,,,,,,,,,,,Winner Match 99,,,,,
,July 3 – Miami Gardens,July 3 – Miami Gardens,,,,,,,,,,,Winner Match 99,,,,,
,July 3 – Miami Gardens,July 3 – Miami Gardens,,,,,,,,,,,Winner Match 100,,,,Match for third place,Match for third place
,Winner Group J,,,,,,,,,,,,Winner Match 100,,,,Match for third place,Match for third place
,Winner Group J,,,,July 7 – Atlanta,July 7 – Atlanta,,,,,,,,,,,July 18 – Miami Gardens,July 18 – Miami Gardens
,Runner-up Group H,,,,July 7 – Atlanta,July 7 – Atlanta,,,,,,,,,,,July 18 – Miami Gardens,July 18 – Miami Gardens
,Runner-up Group H,,,,Winner Match 86,,,,,,,,,,,,Loser Match 101,
,July 3 – Arlington,July 3 – Arlington,,,Winner Match 86,,,,,,,,,,,,Loser Match 101,
,July 3 – Arlington,July 3 – Arlington,,,Winner Match 88,,,,,,,,,,,,Loser Match 102,
,Runner-up Group D,,,,Winner Match 88,,,,,,,,,,,,Loser Match 102,
,Runner-up Group D,,,,,,,,July 11 – Kansas City,July 11 – Kansas City,,,,,,,,
,Runner-up Group G,,,,,,,,July 11 – Kansas City,July 11 – Kansas City,,,,,,,,
,Runner-up Group G,,,,,,,,Winner Match 95,,,,,,,,,
,July 2 – Vancouver,July 2 – Vancouver,,,,,,,Winner Match 95,,,,,,,,,
,July 2 – Vancouver,July 2 – Vancouver,,,,,,,Winner Match 96,,,,,,,,,
,Winner Group B,,,,,,,,Winner Match 96,,,,,,,,,
,Winner Group B,,,,July 7 – Vancouver,July 7 – Vancouver,,,,,,,,,,,,
,3rd Group E/F/G/I/J,,,,July 7 – Vancouver,July 7 – Vancouver,,,,,,,,,,,,
,3rd Group E/F/G/I/J,,,,Winner Match 85,,,,,,,,,,,,,
,July 3 – Kansas City,July 3 – Kansas City,,,Winner Match 85,,,,,,,,,,,,,
,July 3 – Kansas City,July 3 – Kansas City,,,Winner Match 87,,,,,,,,,,,,,
,Winner Group K,,,,Winner Match 87,,,,,,,,,,,,,
,Winner Group K,,,,,,,,,,,,,,,,,
,3rd Group D/E/I/J/L,,,,,,,,,,,,,,,,,
,3rd Group D/E/I/J/L,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
